Date, Day Unit, Bus Rides, Train Rides, Total Rides
01/01/2023, U, 164489, 140776, 305265
01/02/2023, U, 254124, 165797, 419921
01/03/2023, W, 383247, 275846, 659093
01/04/2023, W, 398456, 292474, 690930
01/05/2023, W, 384238, 292708, 676946
01/06/2023, W, 371923, 258636, 630559
01/07/2023, A, 272633, 183930, 456563
01/08/2023, U, 209397, 145377, 354774
01/09/2023, W, 449465, 296803, 746268
01/10/2023, W, 499769, 345615, 845384
01/11/2023, W, 499126, 343468, 842594
01/12/2023, W, 474679, 340171, 814850
01/13/2023, W, 443233, 292169, 735402
01/14/2023, A, 288502, 201672, 490174
01/15/2023, U, 220389, 154138, 374527
01/16/2023, W, 295880, 196321, 492201
01/17/2023, W, 496926, 344762, 841688
01/18/2023, W, 495410, 346875, 842285
01/19/2023, W, 479283, 347238, 826521
01/20/2023, W, 457848, 296350, 754198
01/21/2023, A, 285487, 196802, 482289
01/22/2023, U, 201809, 140538, 342347
01/23/2023, W, 468304, 307836, 776140
01/24/2023, W, 505791, 355136, 860927
01/25/2023, W, 462648, 337076, 799724
01/26/2023, W, 484428, 350067, 834495
01/27/2023, W, 435531, 290048, 725579
01/28/2023, A, 270454, 190883, 461337
01/29/2023, U, 199420, 144673, 344093
01/30/2023, W, 420711, 284230, 704941
01/31/2023, W, 428116, 311121, 739237
02/01/2023, W, 488390, 332706, 821096
02/02/2023, W, 488230, 339244, 827474
02/03/2023, W, 367206, 247871, 615077
02/04/2023, A, 295858, 188543, 484401
02/05/2023, U, 228506, 147681, 376187
02/06/2023, W, 489061, 304675, 793736
02/07/2023, W, 512128, 348998, 861126
02/08/2023, W, 517223, 348441, 865664
02/09/2023 W, 456891, 326676, 783567
02/10/2023, W, 480757, 289003, 769760
02/11/2023, A, 305427, 182401, 487828
02/12/2023, U, 228971, 139964, 368935
02/13/2023, W, 477325, 298814, 776139
02/14/2023, W, 510605, 355572, 866177
02/15/2023 ,W, 498251, 346762, 845013
02/16/2023, W, 450939, 324574 ,775513
02/17/2023, W, 447365, 297527, 744892
02/18/2023, A, 307618, 213471, 521089
02/19/2023, U, 241433, 167599, 409032
02/20/2023, W, 371110, 251523, 622633
02/21/2023, W, 512268, 349053, 861321
02/22/2023, W, 445175, 320183, 765358
02/23/2023, W, 500377, 349987, 850364
02/24/2023, W, 468093, 303528, 771621
02/25/2023, A, 313877, 199947, 513824
02/26/2023, U, 246373, 152718, 399091
02/27/2023, W, 438886, 284156, 723042
02/28/2023, W, 516342, 350093, 866435
03/01/2023, W, 538035, 357399, 895434
03/02/2023, W, 505862, 352552, 858414
03/03/2023, W, 441984, 285055, 727039
03/04/2023, A, 332481, 209545, 542026
03/05/2023, U, 246208, 156086, 402294
03/06/2023, W, 470524, 303195, 773719
03/07/2023, W, 528413, 362941, 891354
03/08/2023, W, 521850, 359517, 881367
03/09/2023, W, 498577, 352220, 850797
03/10/2023, W, 466305, 312533, 778838
03/11/2023, A, 326961, 340919, 667880
03/12/2023, U, 215765, 159274, 375039
03/13/2023, W, 459265, 307389, 766654
03/14/2023, W, 524325, 366497, 890822
03/15/2023, W, 535449, 367880, 903329
03/16/2023, W, 499382, 360728, 860110
03/17/2023, W, 435055, 319561, 754616
03/18/2023, A, 284653, 199267, 483920
03/19/2023, U, 238907, 157695, 396602
03/20/2023, W, 478059, 300593, 778652
03/21/2023, W, 510959, 347098, 858057
03/22/2023, W, 499380, 340260, 839640
03/23/2023, W, 489519, 342562, 832081
03/24/2023, W, 475520, 306297, 781817
03/25/2023, A, 287548, 202198, 489746
03/26/2023, U, 222855, 179536, 402391
03/27/2023, W, 493436, 320115, 813551
03/28/2023, W, 521594, 365749, 887343
03/29/2023, W, 470430, 353192, 823622
03/30/2023, W, 517477, 388264, 905741
03/31/2023, W, 467904, 309609, 777513
04/01/2023, A, 315267, 235235, 550502
04/02/2023, U, 261251, 191192, 452443
04/03/2023, W, 439537, 304009, 743546
04/04/2023, W, 428000, 325448, 753448
04/05/2023, W, 438936, 335701, 774637
04/06/2023, W, 459977, 353018, 812995
04/07/2023, W, 419926, 312653, 732579
04/08/2023, A, 333736, 244038, 577774
04/09/2023, U, 237320, 168475, 405795
04/10/2023, W, 492576, 324608, 817184
04/11/2023, W, 539533, 388288, 927821
04/12/2023, W, 516841, 388965, 905806
04/13/2023, W, 541076, 386440, 927516
04/14/2023, W, 518497, 353807, 872304
04/15/2023, A, 360082, 254964, 615046
04/16/2023, U, 229968, 157603, 387571
04/17/2023, W, 458530, 310077, 768607
04/18/2023, W, 523866, 378471, 902337
04/19/2023, W, 527267, 380103, 907370
04/20/2023, W, 516298, 393967, 910265
04/21/2023, W, 505681, 360742, 866423
04/22/2023, A, 329493, 240134, 569627
04/23/2023, U, 245927, 174185, 420112
04/24/2023, W, 502642, 328298, 830940
04/25/2023, W, 516696, 378228, 894924
04/26/2023, W, 539161, 388688, 927849
04/27/2023, W, 532971, 395661, 928632
04/28/2023, W, 503332, 340242, 843574
04/29/2023, A, 331120, 224434, 555554
04/30/2023, U, 238929, 165311, 404240
05/01/2023, W, 482348, 315630, 797978
05/02/2023, W, 530573, 372211, 902784
05/03/2023, W, 555155, 381538, 936693
05/04/2023, W, 542958, 391265, 934223
05/05/2023, W, 518792, 367635, 886427
05/06/2023, A, 354490, 259476, 613966
05/07/2023, U, 281403, 198280, 479683
05/08/2023, W, 469174, 325860, 795034
05/09/2023, W, 548033, 396388, 944421
05/10/2023, W, 544618, 397870, 942488
05/11/2023, W, 533940, 384804, 918744
05/12/2023, W, 481927, 328362, 810289
05/13/2023, A, 344247, 221075, 565322
05/14/2023, U, 233363, 156364, 389727
05/15/2023, W, 486638, 320403, 807041
05/16/2023, W, 533948, 384145, 918093
05/17/2023, W, 527429, 382604, 910033
05/18/2023, W, 525435, 390005, 915440
05/19/2023, W, 486435, 337006, 823441
05/20/2023, A, 354750, 241214, 595964
05/21/2023, U, 273007, 193053, 466060
05/22/2023, W, 499608, 333292, 832900
05/23/2023, W, 537810, 406630, 944440
05/24/2023, W, 535858, 401039, 936897
05/25/2023, W, 528009, 395099, 923108
05/26/2023, W, 497832, 356184, 854016
05/27/2023, A, 340968, 290957, 631925
05/28/2023, U, 273385, 247157, 520542
05/29/2023, U, 269683, 209702, 479385
05/30/2023, W, 517974, 382375, 900349
05/31/2023, W, 517111, 389469, 906580
06/01/2023, W, 544178, 393187, 937365
06/02/2023, W, 514354, 386122, 900476
06/03/2023, A, 371914, 300646, 672560
06/04/2023, U, 278304, 238509, 516813
06/05/2023, W, 511045, 350028, 861073
06/06/2023, W, 522067, 389250, 911317
06/07/2023, W, 535180, 390851, 926031
06/08/2023, W, 493065, 387473, 880538
06/09/2023, W, 476837, 381247, 858084
06/10/2023, A, 379556, 320326, 699882
06/11/2023, U, 239715, 193563, 433278
06/12/2023, W, 457944, 327050, 784994
06/13/2023, W, 450859, 375000, 825859
06/14/2023, W, 493401, 392696, 886097
06/15/2023, W, 482965, 398441, 881406
06/16/2023, W, 453530, 361553, 815083
06/17/2023, A, 372865, 295909, 668774
06/18/2023, U, 272736, 221073, 493809
06/19/2023, W, 384578, 261569, 646147
06/20/2023, W, 488457, 375171, 863628
06/21/2023, W, 495689, 401487, 897176
06/22/2023, W, 486237, 402155, 888392
06/23/2023, W, 469905, 383443, 853348
06/24/2023, A, 369643, 298557, 668200
06/25/2023, U, 258229, 295714, 553943
06/26/2023, W, 445453, 323554, 769007
06/27/2023, W, 496729, 395754, 892483
06/28/2023, W, 496731, 392034, 888765
06/29/2023, W, 470303, 393963, 864266
06/30/2023, W, 473836, 378120, 851956
